ReturnQuantity,ModelName,ProductCost,Region,Country,Continent,SubcategoryName,CategoryName,Month,Week,Day,Season,Productprice,Returned Revenue Loss,Internal Cost of Returns,Profit Lost on Returns
1,Mountain-200,1105.81,Australia,Australia,Pacific,Mountain Bikes,Bikes,January,1,Thursday,Winter,2049.0982,2049.0982,1105.81,943.2882
1,Road-250,1320.6838,Germany,Germany,Europe,Road Bikes,Bikes,January,1,Saturday,Winter,2181.5625,2181.5625,1320.6838,860.8787
1,Road-550-W,605.6492,Australia,Australia,Pacific,Road Bikes,Bikes,January,1,Sunday,Winter,1000.4375,1000.4375,605.6492,394.78830000000005
1,Road-250,1320.6838,France,France,Europe,Road Bikes,Bikes,January,2,Saturday,Winter,2181.5625,2181.5625,1320.6838,860.8787
1,Road-650,413.1463,Southwest,United States,North America,Road Bikes,Bikes,January,3,Saturday,Winter,699.0982,699.0982,413.1463,285.9519
1,Mountain-200,1117.8559,Australia,Australia,Pacific,Mountain Bikes,Bikes,January,3,Saturday,Winter,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Road-650,413.1463,Australia,Australia,Pacific,Road Bikes,Bikes,January,4,Tuesday,Winter,699.0982,699.0982,413.1463,285.9519
1,Mountain-200,1105.81,Southwest,United States,North America,Mountain Bikes,Bikes,January,4,Sunday,Winter,2049.0982,2049.0982,1105.81,943.2882
1,Mountain-200,1117.8559,Northwest,United States,North America,Mountain Bikes,Bikes,February,5,Monday,Winter,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Road-650,413.1463,Australia,Australia,Pacific,Road Bikes,Bikes,February,6,Friday,Winter,699.0982,699.0982,413.1463,285.9519
1,Road-550-W,605.6492,Southwest,United States,North America,Road Bikes,Bikes,February,6,Sunday,Winter,1000.4375,1000.4375,605.6492,394.78830000000005
1,Road-650,413.1463,Australia,Australia,Pacific,Road Bikes,Bikes,February,7,Saturday,Winter,699.0982,699.0982,413.1463,285.9519
1,Road-250,1320.6838,Australia,Australia,Pacific,Road Bikes,Bikes,February,7,Saturday,Winter,2181.5625,2181.5625,1320.6838,860.8787
1,Road-250,1518.7864,Germany,Germany,Europe,Road Bikes,Bikes,February,8,Monday,Winter,2443.35,2443.35,1518.7864,924.5636
1,Mountain-200,1105.81,Australia,Australia,Pacific,Mountain Bikes,Bikes,February,8,Monday,Winter,2049.0982,2049.0982,1105.81,943.2882
1,Road-250,1518.7864,Australia,Australia,Pacific,Road Bikes,Bikes,February,8,Thursday,Winter,2443.35,2443.35,1518.7864,924.5636
1,Mountain-200,1117.8559,Australia,Australia,Pacific,Mountain Bikes,Bikes,March,10,Tuesday,Spring,2071.4196,2071.4196,1117.8559,953.5637000000002
1,Road-650,413.1463,Northwest,United States,North America,Road Bikes,Bikes,March,10,Saturday,Spring,699.0982,699.0982,413.1463,285.9519
1,Road-250,1518.7864,France,France,Europe,Road Bikes,Bikes,March,11,Friday,Spring,2443.35,2443.35,1518.7864,924.5636
1,Mountain-200,1105.81,Australia,Australia,Pacific,Mountain Bikes,Bikes,March,11,Sunday,Spring,2049.0982,2049.0982,1105.81,943.2882
1,Road-650,413.1463,Canada,Canada,North America,Road Bikes,Bikes,March,12,Monday,Spring,699.0982,699.0982,413.1463,285.9519
